category_id,subject_id,subject_name,credit
CTG001,202108,การรู้ดิจิทัล (Digital Literacy),2(2-0-4)
CTG001,202109,การใช้โปรแกรมประยุกต์เพื่อการเรียนรู้ (Use of Application Programs for Learning),1(0-2-1)
CTG001,202201,ทักษะชีวิต (Life Skills),3(3-0-6)
CTG001,202202,ความเป็นพลเมืองและพลเมืองโลก (Citizenship and Global Citizens),3(3-0-6)
CTG001,202203,"มนุษย์กับสังคมและสิ่งแวดล้อม   (Man, Society and Environment) ",3(3-0-6)
CTG001,202207,"มนุษย์กับเศรษฐกิจและการพัฒนา (Man, Economy and Development)",3(3-0-6)
CTG002,213101,ภาษาอังกฤษเพื่อการสื่อสาร 1 (English for Communication 1),3(3-0-6)
CTG002,213102 ,ภาษาอังกฤษเพื่อการสื่อสาร 2 (English for Communication 2),3(3-0-6)
CTG002,213103,ภาษาอังกฤษเพื่อวัตถุประสงค์ทางวิชาการ (English for Academic Purposes),3(3-0-6)
CTG002,213104,ภาษาอังกฤษเพื่อวัตถุประสงค์เฉพาะ (English for Specific Purposes),3(3-0-6)
CTG002,213105,ภาษาอังกฤษเพื่อการทำงาน (English for Careers),3(3-0-6)
CTG003,202111,ภาษาไทยเพื่อการสื่อสาร (Thai for Communication),2(2-0-4)
CTG003,202175,ศิลปวิจักษ์ (Art Appreciation),2(2-0-4)
CTG003,202181,สุขภาพองค์รวม (Holistic Health),2(2-0-4)
CTG003,202222,พันธกิจสัมพันธ์ชุมชนกับกลุ่มอาชีพ (Professional and Community Engagement),2(2-0-4)
CTG003,202241,กฎหมายในชีวิตประจำวัน (Law in Daily Life),2(2-0-4)
CTG003,202324,ไทยศึกษาเชิงพหุวัฒนธรรม  (Pluri-Cultural Thai Studies),2(2-0-4)
CTG003,202331,อาเซียนศึกษา (ASEAN Studies),2(2-0-4)
CTG003,"202373	",การคิดเชิงออกแบบ (Design Thinking),2(2-0-4)
CTG004,234011,เทคโนโลยีดิจิทัลเบื้องต้น  (Digital Technology Foundation),3(3-0-6)
CTG004,234012,การจัดการเทคโนโลยีดิจิทัล (Digital Technology Management Module),3(3-0-6)
CTG004,234013,การบริการเทคโนโลยีดิจิทัล (Digital Technology Services),2(1-2-3)
CTG004,234021,พื้นฐานการพัฒนาซอฟต์แวร์ I (Software Development Foundation I),3(2-2-5)
CTG004,234022,พื้นฐานการพัฒนาซอฟต์แวร์ II (Software Development Foundation II),3(2-2-5)
CTG004,234023,โครงงานการพัฒนาซอฟต์แวร์ขั้นพื้นฐาน (Project in Basic Software Development),2(0-4-0)
CTG004,234031,พื้นฐานวิทยาการข้อมูล 1 (Data Science Foundation I),3(2-2-5)
CTG004,234032,พื้นฐานการวิทยาการข้อมูล 2 (Data Science Foundation II),3(2-2-5)
CTG004,234033,โครงงานวิทยาการข้อมูลขั้นพื้นฐาน (Project in Basic Data Science),2(0-4-0)
CTG004,203324,ภาษาอังกฤษเพื่อการนำเสนอทางธุรกิจ (English for Business Presentation),3(3-0-6)
CTG004,203325,ภาษาอังกฤษเพื่อการประชุมทางธุรกิจ (English for Business Meetings),3(3-0-6)
CTG005,234043,สัมมนาเทคโนโลยีสารสนเทศ (Seminar in Information Technology),2(2-0-4)
CTG005,234991,โครงงานเทคโนโลยีสารสนเทศ 1 (Project in Information Technology I),3(0-6-0)
CTG005,234992,โครงงานเทคโนโลยีสารสนเทศ 2 (Project in Information Technology II),3(0-6-0)
CTG005,234993,ผู้ประกอบการธุรกิจเทคโนโลยีดิจิทัล  (Digital Technopreneur),2(2-0-4)
CTG006,205305,ความเป็นผู้ประกอบการกับการสร้างธุรกิจใหม่ (Entrepreneurship and New Venture Creation) ,3(3-0-6)
CTG006,205306,กลยุทธ์การเข้าสู่ตลาดสาหรับผลิตภัณฑ์และบริการนวัตกรรม (Go-to-Market Strategies for Innovative Product and Service) ,2(2-0-4)
CTG006,205307,แผนธุรกิจและการจัดหาเงินทุน  (Business Plan and Financing) ,3(3-0-6)
CTG007,205381,นวัตกรรมแบบจำลองธุรกิจ   (Business Model Innovation) ,2(1-2-3)
CTG007,205382,การออกแบบผลิตภัณฑ์และบริการ (Product and Service Design) ,2(1-2-3)
CTG007,205383,ประเด็นกฎหมายสำหรับผู้ประกอบการนวัตกรรม   (Legal Aspects for Innovative Entrepreneurs) ,2(2-0-4)
CTG007,205384,กลยุทธ์ทรัพย์สินทางปัญญาสาหรับธุรกิจนวัตกรรม  (Intellectual Property Strategies for Innovative Business),2(2-0-4)
CTG007,205385,การพัฒนานวัตกรรมทางสังคม (Social Innovation Development) ,2(1-2-3)
CTG007,205386,ความเป็นผู้ประกอบการทางสังคม (Social Entrepreneurship),2(1-2-3)
CTG007,205387,ความเป็นผู้ประกอบการธุรกิจเทคโนโลยี (Technopreneurship),2(1-2-3)
CTG007,205388,โลจิสติกส์ผู้ประกอบการ  (Entrepreneurial Logistics),2(2-0-4)
CTG008,205395,เตรียมสหกิจศึกษาประกอบการหรือเตรียมการบ่มเพาะประกอบการ  (Pre-Enterprise Cooperative Education or Pre-Enterprise Incubation),1(1-0-2)
CTG008,205492,สหกิจศึกษาประกอบการ  (Enterprise Cooperative Education),8
CTG008,205493,การบ่มเพาะประกอบการ    (Enterprise Incubation),8
CTG009,234251,สถิติเพื่อการวิเคราะห์ข้อมูล (Statistics for Data Analytics),3(3-0-6)
CTG009,234252,สถิติขั้นสูงเพื่อการวิเคราะห์ข้อมูล  (Advanced Statistics for Data Analytics),3(3-0-6)
CTG010,234051,การเขียนเนื้อหาดิจิทัล (Digital Content Writing),3(3-0-6)
CTG010,234052,การตลาดเชิงเนื้อหาดิจิทัล (Digital Content Marketing),3(3-0-6)
CTG010,234053,โครงงานการเขียนเนื้อหาดิจิทัล (Project in Digital Content Writing),2(0-4-0)
CTG010,234061,การออกแบบกราฟิกเวกเตอร์  (Vector Graphic Design),3(2-2-5)
CTG010,234062,การออกแบบกราฟิกราสเตอร์ (Raster Graphic Design),3(2-2-5)
CTG010,234063,โครงงานการออกแบบทัศนสาร (Project in Visual Message Design),2(0-4-0)
CTG010,234071,หลักการปฏิสัมพันธ์ระหว่างมนุษย์และคอมพิวเตอร์   (Principles of Human-Computer Interaction),3(3-0-6)
CTG010,234072,การออกแบบประสบการณ์ผู้ใช้ (User Experience Design),3(2-2-5)
CTG010,234073,โครงงานการออกแบบส่วนต่อประสานผู้ใช้และประสบการณ์ผู้ใช้ (Project in User Interface and User Experience Design),2(0-4-0)
CTG010,234081,การออกแบบเทคโนโลยีปฏิสัมพันธ์ที่มีผู้ใช้เป็นศูนย์กลาง  (User Centered Design for Interactive Technologies),3(3-0-6)
CTG010,234082,การทดสอบความสามารถในการใช้งานได้    (Usability Testing),3(3-0-6)
CTG010,234083,โครงงานการออกแบบเทคโนโลยีปฏิสัมพันธ์ที่มีผู้ใช้เป็นศูนย์กลาง (Project in User Centered Design for Interactive Technologies),2(0-4-0)
CTG011,234112,การพัฒนาโปรแกรมประยุกต์ข้ามแพลตฟอร์ม (Cross-Platform Application Development),3(2-2-5)
CTG011,234121,การพัฒนาโปรแกรมประยุกต์แอนดรอยด์ (Android Application Development),3(2-2-5)
CTG011,234122,การพัฒนาโปรแกรมประยุกต์แอนดรอยด์ขั้นสูง (Advanced Android Application Development),3(2-2-5)
CTG011,234131,การพัฒนาโปรแกรมประยุกต์ไอโอเอส (IOS Application Development),3(2-2-5)
CTG011,234132,การพัฒนาโปรแกรมประยุกต์ไอโอเอสขั้นสูง (Advanced IOS Application Development),3(2-2-5)
CTG011,234151,วิศวกรรมซอฟต์แวร์  (Software Engineering),3(3-0-6)
CTG011,234152,การทดสอบซอฟต์แวร์ (Software Testing),3(3-0-6)
CTG011,234161,ไมโครคอนโทรลเลอร์ (Microcontroller),3(2-2-5)
CTG011,234162,อินเทอร์เน็ตของสรรพสิ่ง (Internet of Things),3(2-2-5)
CTG012,234091,การเขียนโปรแกรมเชิงโครงสร้างและโครงสร้างข้อมูล   (Structured Programming and Data Structures),3(2-2-5)
CTG012,234092,การเขียนโปรแกรมเชิงอ็อบเจกต์ (Object-Oriented Programming),3(2-2-5)
CTG012,234101,การโปรแกรมภาษาสคริปต์ (Scripting Language Programming),3(2-2-5) 
CTG012,234102,การพัฒนาโปรแกรมประยุกต์ข้ามแพลตฟอร์มด้วยภาษาสคริปต์ (Cross-Platform Application Development with Scripting Language),3(2-2-5)
CTG012,234111,การพัฒนาโปรแกรมประยุกต์บนเว็บด้วยดอทเน็ตเฟรมเวิร์ค,3(2-2-5)
CTG012,234141,การวิเคราะห์ระบบสารสนเทศ (Information System Analysis),3(2-2-5)
CTG012,234142,การออกแบบระบบสารสนเทศ(Information System Design),3(2-2-5)
CTG012,234171,การออกแบบและพัฒนาฐานข้อมูล (Database Design and Development),3(2-2-5)
CTG012,234172,การออกแบบและพัฒนาฐานข้อมูลขั้นสูง  (Advanced Database Design and Development),3(2-2-5)
CTG012,234181,การสื่อสารข้อมูล (Data Communications),3(3-0-6)
CTG012,234182,การบริหารเครือข่าย (Network Administration),3(2-2-5)
CTG012,234191,การบริหารระบบ (System Administration),3(2-2-5)
CTG012,234192,การจำลองระบบและการจัดการคลาวด์ (System Virtualization and Cloud Management),3(2-2-5)
CTG012,234201,พื้นฐานด้านความมั่นคงปลอดภัยของสารสนเทศและเครือข่าย,3(3-0-6)
CTG012,234202,โพรโทคอลการเข้ารหัสและการประยุกต์ใช้งาน (Cryptographic Protocols and Their Applications),3(2-2-5)
CTG012,234231,คอมพิวเตอร์สมรรถนะสูง (High Performance Computing),3(2-2-5)
CTG012,234241,วิศวกรรมข้อมูล (Data Engineering),3(3-0-6)
CTG012,234271,ปัญญาประดิษฐ์เบื้องต้น  (Artificial Intelligence Foundation),3(3-0-6)
CTG012,234272,การประมวลผลภาษาธรรมชาติ (Natural Language Processing),3(3-0-6)
CTG013,234211,พื้นฐานของบล็อกเชนและสกุลเงินดิจิทัล (Blockchain and Cryptocurrency Basics),3(3-0-6)
CTG013,234212,เทคโนโลยีบล็อกเชนและสกุลเงินดิจิทัล (Blockchain and Cryptocurrency Technologies),3(2-2-5)
CTG013,234221,ธุรกิจดิจิทัล (Digital Business),3(3-0-6)
CTG013,234222,เศรษฐกิจดิจิทัล  (Digital Economy),3(3-0-6)
CTG013,234232,สถาปัตยกรรมข้อมูลขนาดใหญ่ (Big Data Architecture),3(2-2-5)
CTG013,234242,วิศวกรรมเนื้อหาสื่อสังคม (Social Media Content Engineering),3(2-2-5)
CTG013,234261,คลังข้อมูล (Data Warehousing),3(2-2-5)
CTG013,234262,การทำเหมืองข้อมูล (Data Mining),3(2-2-5)
CTG013,234281,ธุรกิจอัจฉริยะ  (Business Intelligence),3(3-0-6)
CTG013,234282,การจินตทัศน์สารสนเทศ (Information Visualization),3(2-2-5)
CTG013,234291,กลยุทธ์ทางธุรกิจเชิงลึก  (Strategic Business Insights),3(3-0-6)
CTG013,234292,การวิเคราะห์ธุรกิจที่ขับเคลื่อนด้วยข้อมูล   (Data-Driven Business Analytics),3(2-2-5)
CTG014,234301,การออกแบบเมทาดาทา  (Metadata Design),3(2-2-5)
CTG014,234302,การค้นคืนสารสนเทศ(Information Retrieval),3(2-2-5)
CTG014,234311,เครื่องมือคลังข้อมูลดิจิทัล (Digital Repository Tools),3(2-2-5)
CTG014,234312,เทคโนโลยีและระบบห้องสมุด (Library Systems and Technology),3(2-2-5)
CTG014,234321,การจัดการความรู้ (Knowledge and Management),3(2-2-5)
CTG014,234322,ระบบในการจัดระบบความรู้  (Knowledge Organization Systems),3(2-2-5)
CTG014,234331,หลักการพื้นฐานในการดูแลรักษาข้อมูลดิจิทัล (Fundamental of Data Curation),3(2-2-5)
CTG014,234332,การสงวนรักษาข้อมูลดิจิทัล (Digital Preservation),3(2-2-5)
CTG014,234341,การจัดระบบสารสนเทศ(Information Organization),3(2-2-5)
CTG014,234342,การวิเคราะห์สารสนเทศ  (Information Analysis),3(2-2-5)
CTG014,234351,แหล่งและบริการสารสนเทศ (Information Sources and Services),3(3-0-6)
CTG014,234352,การออกแบบประสบการณ์สารสนเทศ (Designing Information Experience),3(3-0-6)
CTG014,234361,การจัดการเอกสาร (Records Management),3(3-0-6)
CTG014,234362,การจัดการจดหมายเหตุและต้นฉบับตัวเขียน (Archives and Manuscripts Management),3(3-0-6)
CTG015,234371,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 1-1 (Special Topics in Information Technology I-I),3(3-0-6)
CTG015,234372,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 1-2 (Special Topics in Information Technology I-Il),3(3-0-6)
CTG016,234381,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 2-1 (Special Topics in Information Technology lI-I),3(3-0-6)
CTG016,234382,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 2-2 (Special Topics in Information Technology ll-Il),3(3-0-6)
CTG017,234391,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 3-1 (Special Topics in Information Technology llI-I),3(3-0-6)
CTG017,234392,หัวข้อพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 3-2 (Special Topics in Information Technology llI-Il),3(3-0-6)
CTG018,204490,เตรียมสหกิจศึกษา (Pre-Cooperative Education),1(1-0-2)
CTG018,204491,สหกิจศึกษา 1(Cooperative Education I),8
CTG018,204492,สหกิจศึกษา 2(Cooperative Education Il),8
CTG018,204493,สหกิจศึกษา 3(Cooperative Education Ill),8
